"filename", "language", "JSON", "VEX", "Markdown", "C++", "Python", "XML", "comment", "blank", "total"
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_network_ui.py", "Python", 0, 0, 0, 0, 483, 0, 52, 168, 703
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_network_ui_parse_tab.py", "Python", 0, 0, 0, 0, 173, 0, 49, 73, 295
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_network_ui_ramp_lib.py", "Python", 0, 0, 0, 0, 108, 0, 5, 36, 149
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_network_utils.py", "Python", 0, 0, 0, 0, 214, 0, 41, 90, 345
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_node.py", "Python", 0, 0, 0, 0, 16, 0, 2, 12, 30
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_os.py", "Python", 0, 0, 0, 0, 6, 0, 3, 3, 12
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_render.py", "Python", 0, 0, 0, 0, 67, 0, 24, 35, 126
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_rigging.py", "Python", 0, 0, 0, 0, 57, 0, 8, 29, 94
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_sceneview.py", "Python", 0, 0, 0, 0, 207, 0, 20, 75, 302
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_selection.py", "Python", 0, 0, 0, 0, 35, 0, 30, 23, 88
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_timeline.py", "Python", 0, 0, 0, 0, 171, 0, 56, 83, 310
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_ui_panetab.py", "Python", 0, 0, 0, 0, 68, 0, 61, 58, 187
"q:\_gd\houdini_packages\wf_workflow\python3.7libs DEL\wf_utils.py", "Python", 0, 0, 0, 0, 172, 0, 16, 61, 249
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\.VSCodeCounter\2022-08-22_15-06-37\details.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 6, 44
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\.VSCodeCounter\2022-08-22_15-06-37\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 6, 15
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\.VSCodeCounter\2022-08-22_15-06-37\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 7, 19
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\.VSCodeCounter\2022-08-22_15-06-37\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\.VSCodeCounter\2022-08-22_15-06-37\results.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 7, 21
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\____variables.py", "Python", 0, 0, 0, 0, 5, 0, 8, 10, 23
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_chaneditor.py", "Python", 0, 0, 0, 0, 37, 0, 8, 13, 58
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_hda.py", "Python", 0, 0, 0, 0, 8, 0, 7, 9, 24
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_hotkeys.py", "Python", 0, 0, 0, 0, 91, 0, 29, 71, 191
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_hotkeys_del.py", "Python", 0, 0, 0, 0, 7, 0, 0, 6, 13
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_hotkeys_enter.py", "Python", 0, 0, 0, 0, 68, 0, 30, 34, 132
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_job.py", "Python", 0, 0, 0, 0, 171, 0, 71, 120, 362
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_job_archetype_cam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_job_archetype_data.py", "Python", 0, 0, 0, 0, 10, 0, 8, 6, 24
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_job_archetype_lopnet.py", "Python", 0, 0, 0, 0, 6, 0, 0, 2, 8
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_job_archetype_network.py", "Python", 0, 0, 0, 0, 3, 0, 0, 5, 8
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_music.py", "Python", 0, 0, 0, 0, 322, 0, 103, 162, 587
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_connection.py", "Python", 0, 0, 0, 0, 86, 0, 7, 25, 118
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_kwargs.py", "Python", 0, 0, 0, 0, 90, 0, 0, 27, 117
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_layout.py", "Python", 0, 0, 0, 0, 102, 0, 44, 48, 194
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_parm.py", "Python", 0, 0, 0, 0, 127, 0, 25, 51, 203
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_ui.py", "Python", 0, 0, 0, 0, 483, 0, 52, 168, 703
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_ui_parse_tab.py", "Python", 0, 0, 0, 0, 173, 0, 49, 73, 295
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_ui_ramp_lib.py", "Python", 0, 0, 0, 0, 108, 0, 5, 36, 149
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_network_utils.py", "Python", 0, 0, 0, 0, 214, 0, 41, 90, 345
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_node.py", "Python", 0, 0, 0, 0, 16, 0, 2, 12, 30
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_os.py", "Python", 0, 0, 0, 0, 6, 0, 3, 3, 12
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_render.py", "Python", 0, 0, 0, 0, 67, 0, 24, 35, 126
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_rigging.py", "Python", 0, 0, 0, 0, 57, 0, 8, 29, 94
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_sceneview.py", "Python", 0, 0, 0, 0, 207, 0, 20, 75, 302
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_selection.py", "Python", 0, 0, 0, 0, 35, 0, 30, 23, 88
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_timeline.py", "Python", 0, 0, 0, 0, 171, 0, 56, 83, 310
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_ui_panetab.py", "Python", 0, 0, 0, 0, 68, 0, 61, 58, 187
"q:\_gd\houdini_packages\wf_workflow\python3.9libs\wf_utils.py", "Python", 0, 0, 0, 0, 172, 0, 16, 61, 249
"q:\_gd\houdini_packages\wf_workflow\scripts\456.py", "Python", 0, 0, 0, 0, 3, 0, 1, 2, 6
"q:\_gd\houdini_packages\wf_workflow\scripts\_backup\also no 456.py", "Python", 0, 0, 0, 0, 3, 0, 4, 3, 10
"q:\_gd\houdini_packages\wf_workflow\scripts\_backup\no 456.py", "Python", 0, 0, 0, 0, 5, 0, 7, 4, 16
"q:\_gd\houdini_packages\wf_workflow\toolbar\shelf_tool_assets.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"q:\_gd\houdini_packages\wf_workflow\vex\include\qq.vfl", "VEX", 0, 329, 0, 0, 0, 0, 48, 210, 587
"q:\_gd\houdini_packages\wf_workflow\vex\include\uber.vfl", "VEX", 0, 427, 0, 0, 0, 0, 156, 261, 844
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\aevex.vfl", "VEX", 0, 275, 0, 0, 0, 0, 46, 62, 383
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\array2d.h", "C++", 0, 0, 0, 104, 0, 0, 15, 19, 138
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\ease.vfl", "VEX", 0, 1603, 0, 0, 0, 0, 276, 403, 2282
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\qq.vfl", "VEX", 0, 630, 0, 0, 0, 0, 84, 363, 1077
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\subdiv.vfl", "VEX", 0, 249, 0, 0, 0, 0, 41, 29, 319
"q:\_gd\houdini_packages\wf_workflow\vex_18\include\uber.vfl", "VEX", 0, 985, 0, 0, 0, 0, 277, 551, 1813
"q:\_gd\houdini_packages\wf_workflow\vex_src\apatheia\xe.vfl", "VEX", 0, 13, 0, 0, 0, 0, 3, 8, 24
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\dimension.vfl", "VEX", 0, 68, 0, 0, 0, 0, 17, 35, 120
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\distort.vfl", "VEX", 0, 26, 0, 0, 0, 0, 12, 19, 57
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\fill.vfl", "VEX", 0, 6, 0, 0, 0, 0, 3, 3, 12
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\fit.vfl", "VEX", 0, 36, 0, 0, 0, 0, 26, 13, 75
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\materials.vfl", "VEX", 0, 65, 0, 0, 0, 0, 17, 35, 117
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\matrix.vfl", "VEX", 0, 21, 0, 0, 0, 0, 29, 19, 69
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\noise.vfl", "VEX", 0, 79, 0, 0, 0, 0, 31, 24, 134
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\range.vfl", "VEX", 0, 68, 0, 0, 0, 0, 34, 41, 143
"q:\_gd\houdini_packages\wf_workflow\vex_src\dim_coord_fill\time_snap.vfl", "VEX", 0, 95, 0, 0, 0, 0, 22, 39, 156
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_array.vfl", "VEX", 0, 6, 0, 0, 0, 0, 7, 3, 16
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_attribute.vfl", "VEX", 0, 20, 0, 0, 0, 0, 23, 9, 52
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_geometry.vfl", "VEX", 0, 24, 0, 0, 0, 0, 16, 18, 58
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_interpolation.vfl", "VEX", 0, 17, 0, 0, 0, 0, 13, 9, 39
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_intrinsic.vfl", "VEX", 0, 20, 0, 0, 0, 0, 9, 18, 47
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_loops.vfl", "VEX", 0, 13, 0, 0, 0, 0, 7, 5, 25
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_math.vfl", "VEX", 0, 29, 0, 0, 0, 0, 7, 12, 48
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_measure.vfl", "VEX", 0, 29, 0, 0, 0, 0, 10, 15, 54
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_pointclouds.vfl", "VEX", 0, 67, 0, 0, 0, 0, 17, 38, 122
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_strings.vfl", "VEX", 0, 4, 0, 0, 0, 0, 3, 2, 9
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_table.vfl", "VEX", 0, 32, 0, 0, 0, 0, 38, 14, 84
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_transforms.vfl", "VEX", 0, 60, 0, 0, 0, 0, 42, 40, 142
"q:\_gd\houdini_packages\wf_workflow\vex_src\docs\docs_volume.vfl", "VEX", 0, 6, 0, 0, 0, 0, 7, 2, 15
"q:\_gd\houdini_packages\wf_workflow\vex_src\snippets\color.vfl", "VEX", 0, 2, 0, 0, 0, 0, 3, 1, 6
"q:\_gd\houdini_packages\wf_workflow\vex_src\snippets\extend_polyline.vfl", "VEX", 0, 18, 0, 0, 0, 0, 3, 7, 28
"q:\_gd\houdini_packages\wf_workflow\vex_src\snippets\group.vfl", "VEX", 0, 14, 0, 0, 0, 0, 6, 5, 25
"q:\_gd\houdini_packages\wf_workflow\vex_src\snippets\padzero.vfl", "VEX", 0, 4, 0, 0, 0, 0, 3, 2, 9
"q:\_gd\houdini_packages\wf_workflow\vex_src\snippets\polysplit xyzdist locations.vfl", "VEX", 0, 4, 0, 0, 0, 0, 5, 2, 11
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\angle between edges, detect corners.vfl", "VEX", 0, 22, 0, 0, 0, 0, 4, 10, 36
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\angle between vectors.vfl", "VEX", 0, 3, 0, 0, 0, 0, 3, 2, 8
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\extract axis from orient.vfl", "VEX", 0, 4, 0, 0, 0, 0, 3, 3, 10
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\retime sequence loop ping.vfl", "VEX", 0, 10, 0, 0, 0, 0, 3, 5, 18
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\slideframe.vfl", "VEX", 0, 40, 0, 0, 0, 0, 5, 17, 62
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\vector quantize.vfl", "VEX", 0, 21, 0, 0, 0, 0, 3, 15, 39
"q:\_gd\houdini_packages\wf_workflow\vex_src\tools\vector randomize.vfl", "VEX", 0, 12, 0, 0, 0, 0, 5, 7, 24
"q:\_gd\houdini_packages\wf_workflow\vex_src\uber\geo_carve_line.vfl", "VEX", 0, 49, 0, 0, 0, 0, 13, 28, 90
"Total", "-", 2, 5505, 127, 104, 5838, 197, 2821, 5209, 19803
